sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,0,1800000000048,0,0,280,299,209,236,246,181,273,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,100,1800000000148,1,100,274,298,204,239,243,184,279,289,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,200,1800000000248,2,200,275,300,202,237,245,179,276,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,300,1800000000348,3,300,276,299,204,239,242,185,278,283,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,400,1800000000448,4,400,277,302,207,234,245,182,280,290,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,500,1800000000548,5,500,281,300,207,235,242,185,276,290,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,600,1800000000648,6,600,276,304,202,234,241,180,281,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,700,1800000000748,7,700,281,303,208,235,239,182,278,289,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,800,1800000000848,8,800,281,296,207,240,239,181,275,287,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,900,1800000000948,9,900,279,298,200,234,239,184,278,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1000,1800000001048,10,1000,276,299,206,239,244,183,278,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1100,1800000001148,11,1100,279,303,201,233,244,180,279,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1200,1800000001248,12,1200,280,303,203,237,242,183,282,288,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1300,1800000001348,13,1300,280,297,204,234,242,185,283,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1400,1800000001448,14,1400,282,297,204,237,245,182,280,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1500,1800000001548,15,1500,277,299,202,238,241,187,284,291,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1600,1800000001648,16,1600,281,299,201,236,239,185,279,291,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1700,1800000001748,17,1700,278,303,203,235,240,187,283,291,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1800,1800000001848,18,1800,276,296,204,232,244,183,284,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,1900,1800000001948,19,1900,280,300,204,232,242,188,279,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2000,1800000002048,20,2000,278,301,202,237,239,186,284,290,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2100,1800000002148,21,2100,278,299,203,237,246,186,284,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2200,1800000002248,22,2200,282,299,198,232,243,185,283,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2300,1800000002348,23,2300,279,296,203,236,242,189,284,287,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2400,1800000002448,24,2400,277,295,202,235,243,184,279,289,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2500,1800000002548,25,2500,281,301,202,233,241,182,280,283,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2600,1800000002648,26,2600,276,298,198,232,242,184,284,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2700,1800000002748,27,2700,276,294,196,237,244,187,282,283,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2800,1800000002848,28,2800,279,300,198,236,245,189,278,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,2900,1800000002948,29,2900,282,296,200,235,246,190,282,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3000,1800000003048,30,3000,279,299,203,235,246,187,284,283,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3100,1800000003148,31,3100,282,300,202,239,245,187,283,282,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3200,1800000003248,32,3200,276,297,197,233,246,184,282,288,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3300,1800000003348,33,3300,283,297,200,234,245,189,282,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3400,1800000003448,34,3400,281,298,196,239,249,191,284,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3500,1800000003548,35,3500,281,297,199,233,245,187,278,281,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3600,1800000003648,36,3600,280,296,199,240,247,189,281,280,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3700,1800000003748,37,3700,282,296,197,235,247,184,284,281,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3800,1800000003848,38,3800,279,298,202,235,249,190,281,282,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,3900,1800000003948,39,3900,281,292,202,235,247,190,282,284,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4000,1800000004048,40,4000,280,293,198,234,244,192,276,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4100,1800000004148,41,4100,279,293,202,235,247,191,277,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4200,1800000004248,42,4200,274,295,197,234,252,184,280,279,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4300,1800000004348,43,4300,279,297,202,235,244,187,283,281,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4400,1800000004448,44,4400,278,293,201,235,245,185,280,283,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4500,1800000004548,45,4500,279,294,197,240,248,188,281,285,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4600,1800000004648,46,4600,275,295,201,236,252,185,279,286,220
no_scent_0048,No Scent 0048,No Scent,No Scent,No Scent,4700,1800000004748,47,4700,277,292,196,241,249,186,275,282,220
