sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,0,1800000000095,0,0,170,297,260,237,290,257,256,200,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,100,1800000000195,1,100,221,350,261,240,379,259,334,301,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,200,1800000000295,2,200,275,398,260,241,466,260,414,392,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,300,1800000000395,3,300,321,445,260,241,555,257,487,490,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,400,1800000000495,4,400,371,489,265,237,642,262,559,581,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,500,1800000000595,5,500,419,534,266,240,725,261,625,665,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,600,1800000000695,6,600,464,573,263,237,801,261,700,752,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,700,1800000000795,7,700,516,617,265,240,883,255,765,833,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,800,1800000000895,8,800,556,658,263,239,962,261,832,919,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,900,1800000000995,9,900,599,695,258,232,1033,256,896,1004,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1000,1800000001095,10,1000,649,738,264,233,1112,260,955,1083,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1100,1800000001195,11,1100,689,774,262,234,1187,256,1015,1161,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1200,1800000001295,12,1200,733,816,261,234,1254,259,1080,1237,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1300,1800000001395,13,1300,770,850,258,231,1328,262,1140,1308,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1400,1800000001495,14,1400,810,884,259,236,1394,256,1197,1384,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1500,1800000001595,15,1500,850,919,262,234,1463,261,1249,1453,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1600,1800000001695,16,1600,889,957,261,238,1525,259,1305,1519,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1700,1800000001795,17,1700,926,989,264,234,1591,261,1357,1590,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1800,1800000001895,18,1800,958,1024,257,232,1650,259,1411,1652,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,1900,1800000001995,19,1900,990,1059,257,236,1713,261,1466,1723,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2000,1800000002095,20,2000,1027,1087,263,232,1772,261,1517,1786,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2100,1800000002195,21,2100,1060,1117,260,236,1832,261,1566,1846,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2200,1800000002295,22,2200,1097,1152,262,233,1888,262,1614,1907,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2300,1800000002395,23,2300,1125,1178,258,236,1947,261,1657,1969,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2400,1800000002495,24,2400,1161,1208,258,233,2002,260,1705,2023,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2500,1800000002595,25,2500,1191,1232,261,231,2053,262,1750,2083,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2600,1800000002695,26,2600,1220,1259,256,231,2103,266,1796,2134,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2700,1800000002795,27,2700,1253,1289,259,234,2156,264,1838,2190,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2800,1800000002895,28,2800,1278,1316,256,233,2206,261,1880,2245,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,2900,1800000002995,29,2900,1310,1342,259,233,2258,266,1923,2292,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3000,1800000003095,30,3000,1337,1363,254,236,2305,265,1966,2342,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3100,1800000003195,31,3100,1361,1390,258,231,2355,264,2000,2394,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3200,1800000003295,32,3200,1387,1417,255,237,2398,262,2043,2444,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3300,1800000003395,33,3300,1416,1439,259,237,2443,266,2076,2489,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3400,1800000003495,34,3400,1436,1458,257,237,2489,267,2116,2536,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3500,1800000003595,35,3500,1463,1481,258,234,2533,265,2154,2583,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3600,1800000003695,36,3600,1483,1507,259,239,2569,266,2190,2627,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3700,1800000003795,37,3700,1512,1529,257,234,2615,263,2224,2669,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3800,1800000003895,38,3800,1529,1548,254,233,2655,264,2254,2718,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,3900,1800000003995,39,3900,1558,1567,255,238,2692,264,2291,2760,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4000,1800000004095,40,4000,1576,1592,258,237,2735,261,2319,2800,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4100,1800000004195,41,4100,1599,1613,253,233,2772,261,2352,2838,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4200,1800000004295,42,4200,1622,1631,257,234,2804,261,2386,2878,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4300,1800000004395,43,4300,1640,1646,261,235,2847,266,2410,2913,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4400,1800000004495,44,4400,1663,1665,255,239,2878,264,2439,2948,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4500,1800000004595,45,4500,1683,1686,256,241,2917,262,2476,2987,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4600,1800000004695,46,4600,1701,1701,256,241,2951,266,2501,3025,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4700,1800000004795,47,4700,1714,1717,256,237,2977,260,2527,3060,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4800,1800000004895,48,4800,1737,1736,255,242,3014,266,2555,3089,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,4900,1800000004995,49,4900,1752,1755,255,241,3043,263,2585,3123,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5000,1800000005095,50,5000,1773,1766,258,241,3072,264,2605,3159,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5100,1800000005195,51,5100,1788,1784,255,237,3104,266,2632,3193,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5200,1800000005295,52,5200,1806,1798,259,240,3140,260,2659,3222,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5300,1800000005395,53,5300,1818,1815,255,237,3163,262,2684,3254,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5400,1800000005495,54,5400,1837,1834,260,241,3192,264,2706,3283,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5500,1800000005595,55,5500,1853,1848,258,238,3223,267,2729,3310,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5600,1800000005695,56,5600,1869,1863,257,240,3246,267,2752,3342,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5700,1800000005795,57,5700,1885,1870,263,243,3275,262,2772,3365,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5800,1800000005895,58,5800,1897,1884,263,241,3302,264,2790,3392,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,5900,1800000005995,59,5900,1910,1901,261,240,3327,259,2815,3426,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6000,1800000006095,60,6000,1929,1917,257,240,3353,261,2838,3446,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6100,1800000006195,61,6100,1938,1929,259,242,3378,263,2857,3473,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6200,1800000006295,62,6200,1953,1938,265,242,3401,263,2876,3504,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6300,1800000006395,63,6300,1968,1950,257,240,3423,262,2899,3527,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6400,1800000006495,64,6400,1985,1961,263,244,3446,257,2917,3549,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6500,1800000006595,65,6500,1990,1975,260,239,3463,259,2935,3576,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6600,1800000006695,66,6600,2007,1988,262,243,3490,261,2953,3594,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6700,1800000006795,67,6700,2022,1998,262,240,3511,259,2969,3622,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6800,1800000006895,68,6800,2031,2011,265,241,3529,261,2988,3639,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,6900,1800000006995,69,6900,2043,2024,259,245,3548,260,3006,3665,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7000,1800000007095,70,7000,2054,2032,259,242,3567,260,3018,3689,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7100,1800000007195,71,7100,2067,2040,265,243,3584,263,3039,3703,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7200,1800000007295,72,7200,2075,2056,262,238,3608,258,3053,3723,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7300,1800000007395,73,7300,2087,2066,267,244,3627,258,3071,3746,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7400,1800000007495,74,7400,2095,2073,265,241,3641,262,3086,3767,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7500,1800000007595,75,7500,2105,2083,266,244,3656,260,3098,3786,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7600,1800000007695,76,7600,2116,2093,266,239,3676,257,3115,3803,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7700,1800000007795,77,7700,2126,2103,265,245,3692,258,3132,3826,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7800,1800000007895,78,7800,2137,2115,265,240,3708,258,3139,3837,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,7900,1800000007995,79,7900,2149,2123,264,242,3725,262,3158,3859,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,8000,1800000008095,80,8000,2157,2128,266,238,3745,256,3174,3876,220
single_amber_0095,Single Amber 0095,Amber,No Scent,No Scent,8100,1800000008195,81,8100,2169,2138,267,238,3755,260,3184,3892,220
