sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,0,1800000000083,0,0,265,162,236,209,293,263,292,301,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,100,1800000000183,1,100,421,458,236,422,509,263,293,517,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,200,1800000000283,2,200,558,734,240,612,701,262,292,722,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,300,1800000000383,3,300,690,991,242,796,888,263,290,907,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,400,1800000000483,4,400,811,1221,240,962,1056,266,289,1078,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,500,1800000000583,5,500,925,1436,236,1107,1207,262,294,1230,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,600,1800000000683,6,600,1026,1635,236,1254,1355,263,292,1376,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,700,1800000000783,7,700,1122,1814,237,1378,1482,265,296,1515,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,800,1800000000883,8,800,1209,1985,240,1499,1600,261,297,1633,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,900,1800000000983,9,900,1286,2134,239,1606,1713,264,292,1749,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1000,1800000001083,10,1000,1360,2278,241,1712,1819,264,297,1857,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1100,1800000001183,11,1100,1432,2414,237,1801,1912,261,293,1948,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1200,1800000001283,12,1200,1488,2532,238,1890,2000,262,291,2039,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1300,1800000001383,13,1300,1548,2641,235,1964,2080,261,296,2124,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1400,1800000001483,14,1400,1603,2747,236,2038,2158,264,294,2196,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1500,1800000001583,15,1500,1649,2838,235,2106,2226,264,292,2269,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1600,1800000001683,16,1600,1699,2924,238,2171,2288,265,294,2330,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1700,1800000001783,17,1700,1738,3005,236,2227,2347,264,296,2394,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1800,1800000001883,18,1800,1777,3080,236,2279,2402,264,299,2443,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,1900,1800000001983,19,1900,1816,3153,233,2326,2447,265,298,2499,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2000,1800000002083,20,2000,1845,3212,231,2368,2492,264,292,2545,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2100,1800000002183,21,2100,1876,3271,232,2409,2534,270,296,2583,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2200,1800000002283,22,2200,1900,3325,232,2449,2573,269,297,2626,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2300,1800000002383,23,2300,1924,3372,238,2483,2610,269,294,2659,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2400,1800000002483,24,2400,1949,3416,233,2520,2644,264,292,2695,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2500,1800000002583,25,2500,1973,3461,236,2544,2673,267,298,2724,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2600,1800000002683,26,2600,1994,3494,231,2576,2704,265,298,2754,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2700,1800000002783,27,2700,2008,3534,230,2602,2728,268,293,2779,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2800,1800000002883,28,2800,2027,3568,231,2622,2747,268,299,2800,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,2900,1800000002983,29,2900,2045,3598,230,2647,2771,272,299,2824,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,3000,1800000003083,30,3000,2056,3626,232,2661,2796,272,298,2841,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,3100,1800000003183,31,3100,2072,3646,230,2682,2815,267,296,2864,220
single_aromatic_0083,Single Aromatic 0083,Aromatic,No Scent,No Scent,3200,1800000003283,32,3200,2086,3668,231,2702,2830,266,299,2883,220
