sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,0,1800000000072,0,0,287,190,165,232,157,256,226,182,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,100,1800000000172,1,100,999,584,893,979,161,255,232,581,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,200,1800000000272,2,200,1557,902,1477,1576,157,255,227,899,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,300,1800000000372,3,300,1996,1146,1932,2042,161,261,230,1149,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,400,1800000000472,4,400,2351,1349,2299,2421,157,259,229,1345,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,500,1800000000572,5,500,2627,1503,2590,2714,160,256,227,1503,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,600,1800000000672,6,600,2851,1624,2812,2945,162,257,229,1633,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,700,1800000000772,7,700,3027,1723,2993,3130,156,257,231,1732,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,800,1800000000872,8,800,3166,1800,3140,3283,160,262,229,1808,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,900,1800000000972,9,900,3276,1864,3255,3394,159,259,233,1871,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,1000,1800000001072,10,1000,3362,1910,3342,3492,161,257,233,1920,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,1100,1800000001172,11,1100,3434,1952,3412,3563,156,255,229,1958,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,1200,1800000001272,12,1200,3485,1981,3473,3623,160,262,230,1990,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,1300,1800000001372,13,1300,3533,2003,3517,3669,156,262,234,2018,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,1400,1800000001472,14,1400,3561,2024,3552,3702,158,256,228,2035,220
single_citrus_0072,Single Citrus 0072,Citrus,No Scent,No Scent,1500,1800000001572,15,1500,3594,2042,3580,3732,154,257,231,2050,220
