sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,0,1800000000093,0,0,232,184,269,201,202,220,197,196,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,100,1800000000193,1,100,276,210,267,200,288,217,276,297,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,200,1800000000293,2,200,315,229,265,199,370,222,361,398,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,300,1800000000393,3,300,355,251,267,203,453,221,441,499,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,400,1800000000493,4,400,400,276,268,201,535,222,514,593,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,500,1800000000593,5,500,434,303,269,196,612,221,595,684,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,600,1800000000693,6,600,478,322,263,198,690,222,665,773,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,700,1800000000793,7,700,512,342,267,201,763,221,738,862,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,800,1800000000893,8,800,550,367,264,198,839,223,805,944,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,900,1800000000993,9,900,588,385,265,198,907,219,878,1028,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1000,1800000001093,10,1000,618,403,266,198,980,225,945,1114,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1100,1800000001193,11,1100,654,422,269,197,1048,225,1008,1191,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1200,1800000001293,12,1200,688,447,264,200,1115,225,1072,1270,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1300,1800000001393,13,1300,721,460,265,196,1177,223,1134,1345,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1400,1800000001493,14,1400,750,479,267,199,1243,225,1196,1422,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1500,1800000001593,15,1500,786,498,265,193,1309,223,1255,1492,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1600,1800000001693,16,1600,814,517,267,193,1364,220,1314,1566,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1700,1800000001793,17,1700,839,535,267,196,1426,223,1366,1634,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1800,1800000001893,18,1800,868,550,261,193,1483,226,1422,1700,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,1900,1800000001993,19,1900,900,561,261,194,1535,222,1479,1765,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2000,1800000002093,20,2000,923,580,265,197,1592,222,1529,1828,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2100,1800000002193,21,2100,949,594,262,196,1649,220,1581,1893,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2200,1800000002293,22,2200,976,611,260,192,1696,225,1631,1952,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2300,1800000002393,23,2300,1003,622,259,200,1751,224,1684,2015,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2400,1800000002493,24,2400,1027,635,264,196,1799,226,1729,2073,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2500,1800000002593,25,2500,1051,646,263,193,1850,228,1775,2131,220
single_dry_woods_0093,Single Dry Woods 0093,Dry Woods,No Scent,No Scent,2600,1800000002693,26,2600,1079,661,263,194,1898,223,1818,2180,220
