sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,0,1800000000087,0,0,179,268,183,284,225,224,248,231,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,100,1800000000187,1,100,178,460,182,281,222,225,252,293,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,200,1800000000287,2,200,178,644,182,283,226,227,247,348,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,300,1800000000387,3,300,184,824,187,287,223,226,252,408,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,400,1800000000487,4,400,180,986,180,284,222,229,246,459,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,500,1800000000587,5,500,182,1149,181,284,219,231,247,510,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,600,1800000000687,6,600,179,1302,184,282,227,225,247,563,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,700,1800000000787,7,700,186,1443,186,283,221,227,251,604,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,800,1800000000887,8,800,184,1588,184,285,225,225,248,656,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,900,1800000000987,9,900,179,1721,186,280,220,227,254,699,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1000,1800000001087,10,1000,184,1847,184,279,224,232,250,735,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1100,1800000001187,11,1100,185,1969,182,285,219,227,252,774,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1200,1800000001287,12,1200,185,2083,183,285,225,226,252,813,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1300,1800000001387,13,1300,182,2186,181,283,226,228,249,849,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1400,1800000001487,14,1400,182,2298,185,284,221,230,250,882,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1500,1800000001587,15,1500,181,2396,179,279,222,229,253,913,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1600,1800000001687,16,1600,181,2490,180,282,223,227,253,944,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1700,1800000001787,17,1700,184,2585,181,283,221,230,250,973,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1800,1800000001887,18,1800,184,2671,183,282,226,234,252,1001,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,1900,1800000001987,19,1900,186,2755,179,285,222,234,256,1031,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2000,1800000002087,20,2000,188,2831,182,284,223,229,256,1056,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2100,1800000002187,21,2100,187,2906,181,278,225,229,256,1077,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2200,1800000002287,22,2200,181,2973,180,284,224,231,249,1096,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2300,1800000002387,23,2300,183,3049,176,281,227,231,254,1124,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2400,1800000002487,24,2400,183,3114,184,281,223,234,249,1141,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2500,1800000002587,25,2500,186,3172,181,281,227,237,252,1165,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2600,1800000002687,26,2600,188,3233,176,282,226,232,255,1183,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2700,1800000002787,27,2700,184,3291,181,280,222,236,249,1199,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2800,1800000002887,28,2800,185,3340,181,285,227,231,256,1220,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,2900,1800000002987,29,2900,187,3397,182,280,223,237,256,1229,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3000,1800000003087,30,3000,182,3445,180,284,225,235,256,1251,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3100,1800000003187,31,3100,182,3494,177,285,224,232,250,1264,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3200,1800000003287,32,3200,186,3532,182,284,226,238,253,1279,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3300,1800000003387,33,3300,183,3580,181,279,228,235,255,1292,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3400,1800000003487,34,3400,184,3622,177,285,225,237,253,1305,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3500,1800000003587,35,3500,185,3660,177,286,230,232,251,1319,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3600,1800000003687,36,3600,186,3693,179,282,227,236,250,1328,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3700,1800000003787,37,3700,183,3735,181,284,229,236,256,1341,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3800,1800000003887,38,3800,184,3768,175,280,227,235,249,1350,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,3900,1800000003987,39,3900,178,3795,177,284,226,239,252,1359,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4000,1800000004087,40,4000,184,3831,177,283,226,239,250,1369,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4100,1800000004187,41,4100,180,3859,175,285,228,234,253,1383,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4200,1800000004287,42,4200,178,3885,182,281,231,238,249,1393,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4300,1800000004387,43,4300,181,3916,180,284,231,234,254,1398,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4400,1800000004487,44,4400,184,3935,178,282,227,232,253,1402,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4500,1800000004587,45,4500,183,3962,176,286,232,232,253,1412,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4600,1800000004687,46,4600,178,3989,180,287,232,232,252,1424,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4700,1800000004787,47,4700,181,4004,176,283,229,234,254,1427,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4800,1800000004887,48,4800,176,4032,177,282,232,232,250,1433,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,4900,1800000004987,49,4900,180,4046,176,285,228,235,246,1442,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5000,1800000005087,50,5000,181,4066,182,288,231,238,246,1444,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5100,1800000005187,51,5100,177,4089,181,289,233,231,249,1451,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5200,1800000005287,52,5200,179,4095,179,282,229,231,250,1459,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5300,1800000005387,53,5300,178,4095,179,290,234,230,246,1463,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5400,1800000005487,54,5400,181,4095,180,288,232,236,252,1467,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5500,1800000005587,55,5500,176,4095,178,285,231,232,249,1477,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5600,1800000005687,56,5600,177,4095,177,290,226,231,248,1475,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5700,1800000005787,57,5700,176,4095,181,287,229,231,252,1479,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5800,1800000005887,58,5800,181,4095,181,288,234,236,249,1487,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,5900,1800000005987,59,5900,180,4095,177,286,234,230,249,1489,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6000,1800000006087,60,6000,179,4095,178,291,226,232,251,1498,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6100,1800000006187,61,6100,180,4095,178,287,233,232,250,1501,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6200,1800000006287,62,6200,174,4095,184,287,228,231,247,1501,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6300,1800000006387,63,6300,179,4095,184,285,230,230,249,1505,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6400,1800000006487,64,6400,175,4095,186,291,231,231,248,1511,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6500,1800000006587,65,6500,176,4095,182,291,228,229,250,1513,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6600,1800000006687,66,6600,179,4095,184,292,228,231,249,1512,220
single_floral_0087,Single Floral 0087,Floral,No Scent,No Scent,6700,1800000006787,67,6700,181,4095,183,292,233,232,249,1521,220
