sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,0,1800000000065,0,0,241,286,179,195,291,157,188,224,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,100,1800000000165,1,100,289,499,175,197,441,159,328,388,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,200,1800000000265,2,200,335,697,173,194,586,161,467,550,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,300,1800000000365,3,300,379,888,172,193,721,161,601,701,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,400,1800000000465,4,400,417,1069,176,194,850,160,727,842,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,500,1800000000565,5,500,461,1246,176,195,972,160,848,979,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,600,1800000000665,6,600,496,1409,178,193,1085,162,959,1110,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,700,1800000000765,7,700,536,1559,175,195,1199,160,1063,1230,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,800,1800000000865,8,800,568,1711,172,196,1302,155,1167,1344,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,900,1800000000965,9,900,599,1848,173,197,1400,160,1264,1459,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1000,1800000001065,10,1000,635,1983,171,196,1492,157,1359,1561,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1100,1800000001165,11,1100,662,2108,175,190,1581,158,1442,1660,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1200,1800000001265,12,1200,688,2229,174,191,1664,161,1527,1759,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1300,1800000001365,13,1300,717,2336,172,192,1745,160,1604,1849,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1400,1800000001465,14,1400,738,2447,172,192,1822,158,1680,1927,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1500,1800000001565,15,1500,761,2549,170,196,1892,163,1744,2006,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1600,1800000001665,16,1600,782,2641,173,195,1964,159,1818,2086,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1700,1800000001765,17,1700,805,2734,172,193,2028,158,1880,2161,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1800,1800000001865,18,1800,824,2825,173,189,2089,162,1936,2228,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,1900,1800000001965,19,1900,847,2902,173,191,2147,164,1999,2288,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,2000,1800000002065,20,2000,861,2981,170,189,2201,163,2050,2356,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,2100,1800000002165,21,2100,880,3059,171,194,2258,164,2102,2408,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,2200,1800000002265,22,2200,898,3129,173,191,2306,160,2151,2469,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,2300,1800000002365,23,2300,914,3191,170,192,2350,162,2192,2516,220
single_floral_amber_0065,Single Floral Amber 0065,Floral Amber,No Scent,No Scent,2400,1800000002465,24,2400,924,3253,167,191,2396,161,2240,2567,220
