sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,0,1800000000061,0,0,288,264,214,199,183,241,281,207,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,100,1800000000161,1,100,367,648,213,196,181,240,277,391,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,200,1800000000261,2,200,440,992,208,191,187,236,279,553,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,300,1800000000361,3,300,506,1302,209,193,183,239,279,698,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,400,1800000000461,4,400,563,1586,215,195,181,238,279,834,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,500,1800000000561,5,500,620,1833,214,197,183,239,281,950,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,600,1800000000661,6,600,668,2057,214,198,181,236,281,1059,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,700,1800000000761,7,700,708,2261,215,192,182,242,279,1154,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,800,1800000000861,8,800,746,2446,214,193,183,242,278,1237,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,900,1800000000961,9,900,778,2606,214,190,182,242,277,1316,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1000,1800000001061,10,1000,811,2761,211,190,185,241,282,1388,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1100,1800000001161,11,1100,838,2894,211,191,181,243,279,1453,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1200,1800000001261,12,1200,862,3005,209,195,181,244,282,1508,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1300,1800000001361,13,1300,890,3114,212,191,187,244,284,1560,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1400,1800000001461,14,1400,904,3212,210,189,187,238,281,1606,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1500,1800000001561,15,1500,927,3299,210,195,182,242,281,1645,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1600,1800000001661,16,1600,941,3377,212,194,182,241,280,1680,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1700,1800000001761,17,1700,958,3442,207,189,187,242,282,1713,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1800,1800000001861,18,1800,971,3506,207,193,187,245,278,1741,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,1900,1800000001961,19,1900,980,3566,209,190,186,245,279,1769,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2000,1800000002061,20,2000,995,3613,208,192,185,241,284,1789,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2100,1800000002161,21,2100,1003,3659,209,192,188,242,279,1815,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2200,1800000002261,22,2200,1007,3703,206,191,186,242,281,1832,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2300,1800000002361,23,2300,1016,3735,207,189,181,246,278,1847,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2400,1800000002461,24,2400,1022,3770,207,192,185,246,284,1866,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2500,1800000002561,25,2500,1034,3804,205,194,185,244,279,1883,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2600,1800000002661,26,2600,1041,3826,205,188,182,243,278,1896,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2700,1800000002761,27,2700,1044,3847,208,191,189,247,279,1901,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2800,1800000002861,28,2800,1045,3870,206,187,188,242,284,1917,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,2900,1800000002961,29,2900,1050,3891,204,193,187,247,284,1925,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,3000,1800000003061,30,3000,1058,3905,207,188,188,243,280,1928,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,3100,1800000003161,31,3100,1055,3920,208,190,188,242,279,1939,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,3200,1800000003261,32,3200,1057,3937,202,196,187,245,280,1947,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,3300,1800000003361,33,3300,1065,3952,206,193,190,241,280,1953,220
single_fruity_0061,Single Fruity 0061,Fruity,No Scent,No Scent,3400,1800000003461,34,3400,1063,3961,204,194,187,246,283,1956,220
