sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_green_0092,Single Green 0092,Green,No Scent,No Scent,0,1800000000092,0,0,281,247,243,259,220,168,188,210,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,100,1800000000192,1,100,286,576,245,308,221,168,189,660,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,200,1800000000292,2,200,284,860,249,340,223,165,188,1042,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,300,1800000000392,3,300,287,1097,248,371,220,166,185,1363,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,400,1800000000492,4,400,283,1299,248,400,219,164,189,1641,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,500,1800000000592,5,500,284,1474,249,424,217,165,191,1875,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,600,1800000000692,6,600,286,1618,244,436,223,165,193,2068,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,700,1800000000792,7,700,284,1744,247,454,219,172,190,2236,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,800,1800000000892,8,800,291,1849,244,467,218,165,187,2381,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,900,1800000000992,9,900,287,1940,244,481,215,170,187,2503,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1000,1800000001092,10,1000,284,2019,243,493,220,171,188,2611,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1100,1800000001192,11,1100,284,2085,241,502,217,170,189,2696,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1200,1800000001292,12,1200,288,2136,244,506,223,172,192,2770,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1300,1800000001392,13,1300,285,2187,246,515,220,172,188,2831,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1400,1800000001492,14,1400,288,2230,240,517,217,173,194,2886,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1500,1800000001592,15,1500,291,2263,245,521,221,172,189,2932,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1600,1800000001692,16,1600,292,2292,245,526,222,173,190,2971,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1700,1800000001792,17,1700,288,2316,245,525,223,170,190,3005,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1800,1800000001892,18,1800,291,2337,240,534,219,174,191,3037,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,1900,1800000001992,19,1900,285,2354,239,534,216,172,189,3057,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2000,1800000002092,20,2000,287,2368,239,538,219,170,188,3076,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2100,1800000002192,21,2100,291,2380,243,540,223,172,188,3096,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2200,1800000002292,22,2200,290,2390,240,539,223,168,194,3112,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2300,1800000002392,23,2300,292,2401,240,536,224,173,190,3122,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2400,1800000002492,24,2400,288,2412,240,540,224,168,188,3132,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2500,1800000002592,25,2500,289,2416,239,540,222,168,191,3140,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2600,1800000002692,26,2600,291,2419,238,541,223,169,190,3153,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2700,1800000002792,27,2700,288,2423,239,541,220,174,195,3158,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2800,1800000002892,28,2800,287,2427,242,543,224,171,192,3163,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,2900,1800000002992,29,2900,285,2432,237,545,225,173,188,3170,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3000,1800000003092,30,3000,285,2435,238,545,224,176,194,3169,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3100,1800000003192,31,3100,291,2434,239,541,222,170,194,3172,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3200,1800000003292,32,3200,290,2439,237,543,223,171,189,3177,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3300,1800000003392,33,3300,284,2438,243,549,225,173,188,3180,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3400,1800000003492,34,3400,289,2442,236,545,226,170,188,3181,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3500,1800000003592,35,3500,289,2446,238,547,223,175,188,3178,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3600,1800000003692,36,3600,285,2445,239,547,227,172,187,3183,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3700,1800000003792,37,3700,285,2447,238,544,222,172,193,3185,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3800,1800000003892,38,3800,287,2446,242,547,224,175,191,3185,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,3900,1800000003992,39,3900,286,2441,242,547,221,171,187,3183,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4000,1800000004092,40,4000,287,2442,240,545,225,175,191,3187,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4100,1800000004192,41,4100,288,2445,237,544,221,171,188,3182,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4200,1800000004292,42,4200,284,2445,238,544,223,176,190,3182,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4300,1800000004392,43,4300,283,2446,236,546,224,171,189,3184,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4400,1800000004492,44,4400,281,2449,239,550,224,170,188,3185,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4500,1800000004592,45,4500,285,2447,243,545,225,174,188,3185,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4600,1800000004692,46,4600,284,2448,239,548,222,170,188,3188,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4700,1800000004792,47,4700,281,2445,239,553,227,176,187,3190,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4800,1800000004892,48,4800,286,2448,241,550,224,175,185,3184,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,4900,1800000004992,49,4900,287,2447,239,551,226,176,185,3185,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,5000,1800000005092,50,5000,285,2448,238,553,223,170,188,3191,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,5100,1800000005192,51,5100,282,2443,239,548,223,176,187,3183,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,5200,1800000005292,52,5200,284,2421,237,549,229,172,189,3153,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,5300,1800000005392,53,5300,279,2347,241,534,227,175,183,3054,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,5400,1800000005492,54,5400,286,2276,240,522,226,172,183,2964,220
single_green_0092,Single Green 0092,Green,No Scent,No Scent,5500,1800000005592,55,5500,284,2203,238,514,226,172,183,2879,220
