sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,0,1800000000084,0,0,205,202,250,156,179,250,181,164,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,100,1800000000184,1,100,281,273,255,148,263,254,179,254,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,200,1800000000284,2,200,347,341,253,149,349,254,179,339,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,300,1800000000384,3,300,423,401,256,148,431,258,178,420,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,400,1800000000484,4,400,489,463,257,154,510,257,185,495,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,500,1800000000584,5,500,561,526,251,151,589,254,182,570,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,600,1800000000684,6,600,626,588,253,152,664,258,182,645,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,700,1800000000784,7,700,683,644,252,154,741,251,183,717,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,800,1800000000884,8,800,749,703,254,151,812,258,181,794,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,900,1800000000984,9,900,805,759,253,152,882,253,181,858,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1000,1800000001084,10,1000,868,813,252,152,946,258,183,928,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1100,1800000001184,11,1100,922,867,249,149,1012,258,184,989,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1200,1800000001284,12,1200,976,914,250,146,1080,259,187,1054,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1300,1800000001384,13,1300,1027,970,253,151,1147,259,187,1112,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1400,1800000001484,14,1400,1083,1010,250,151,1203,256,184,1175,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1500,1800000001584,15,1500,1135,1059,248,152,1269,259,187,1233,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1600,1800000001684,16,1600,1184,1103,252,152,1324,260,188,1288,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1700,1800000001784,17,1700,1231,1154,249,149,1378,256,185,1344,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1800,1800000001884,18,1800,1275,1195,253,150,1431,255,185,1398,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,1900,1800000001984,19,1900,1321,1236,247,148,1489,260,182,1450,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2000,1800000002084,20,2000,1365,1275,248,148,1544,256,183,1501,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2100,1800000002184,21,2100,1410,1317,251,146,1588,256,185,1547,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2200,1800000002284,22,2200,1454,1355,253,150,1640,262,181,1598,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2300,1800000002384,23,2300,1493,1392,248,147,1690,263,184,1643,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2400,1800000002484,24,2400,1530,1425,245,151,1733,262,182,1689,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2500,1800000002584,25,2500,1568,1466,251,152,1781,262,185,1736,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2600,1800000002684,26,2600,1604,1497,246,148,1829,259,184,1776,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2700,1800000002784,27,2700,1643,1530,248,144,1872,258,186,1816,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2800,1800000002884,28,2800,1679,1564,249,150,1909,258,183,1862,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,2900,1800000002984,29,2900,1710,1593,250,151,1952,258,185,1903,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3000,1800000003084,30,3000,1746,1626,244,144,1994,257,182,1936,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3100,1800000003184,31,3100,1782,1659,252,146,2033,259,184,1974,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3200,1800000003284,32,3200,1810,1687,249,146,2071,262,186,2009,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3300,1800000003384,33,3300,1846,1713,248,147,2101,260,184,2044,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3400,1800000003484,34,3400,1870,1747,247,151,2142,262,186,2082,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3500,1800000003584,35,3500,1899,1769,248,146,2178,260,180,2113,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3600,1800000003684,36,3600,1934,1793,245,148,2207,262,187,2147,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3700,1800000003784,37,3700,1957,1821,249,148,2243,259,184,2175,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3800,1800000003884,38,3800,1981,1849,247,151,2271,257,185,2213,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,3900,1800000003984,39,3900,2008,1875,243,149,2309,261,184,2239,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4000,1800000004084,40,4000,2039,1896,249,146,2336,261,180,2269,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4100,1800000004184,41,4100,2062,1914,244,148,2362,263,184,2297,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4200,1800000004284,42,4200,2084,1939,248,149,2397,263,184,2322,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4300,1800000004384,43,4300,2109,1958,246,150,2419,263,179,2351,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4400,1800000004484,44,4400,2133,1981,249,147,2452,261,179,2382,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4500,1800000004584,45,4500,2155,2007,248,151,2474,265,186,2406,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4600,1800000004684,46,4600,2172,2027,246,155,2501,264,181,2427,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4700,1800000004784,47,4700,2195,2044,250,151,2526,262,180,2450,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4800,1800000004884,48,4800,2216,2061,245,149,2551,264,182,2476,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,4900,1800000004984,49,4900,2238,2077,247,149,2573,259,179,2502,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5000,1800000005084,50,5000,2258,2095,248,154,2596,258,180,2524,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5100,1800000005184,51,5100,2270,2117,247,152,2622,261,182,2545,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5200,1800000005284,52,5200,2294,2135,245,156,2640,261,183,2563,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5300,1800000005384,53,5300,2310,2149,247,152,2660,264,184,2582,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5400,1800000005484,54,5400,2323,2170,252,157,2683,261,183,2607,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5500,1800000005584,55,5500,2344,2180,250,156,2702,262,182,2620,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5600,1800000005684,56,5600,2361,2201,246,150,2726,261,178,2640,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5700,1800000005784,57,5700,2374,2216,253,156,2741,257,176,2660,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5800,1800000005884,58,5800,2393,2224,252,152,2757,261,183,2679,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,5900,1800000005984,59,5900,2405,2241,253,158,2781,259,178,2701,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6000,1800000006084,60,6000,2418,2257,247,152,2798,259,178,2718,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6100,1800000006184,61,6100,2437,2272,251,157,2813,258,180,2729,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6200,1800000006284,62,6200,2446,2283,247,153,2831,256,181,2745,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6300,1800000006384,63,6300,2462,2296,251,155,2840,255,181,2763,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6400,1800000006484,64,6400,2476,2305,250,156,2857,259,179,2777,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6500,1800000006584,65,6500,2486,2321,254,158,2876,256,176,2792,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6600,1800000006684,66,6600,2504,2330,252,151,2893,258,181,2810,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6700,1800000006784,67,6700,2512,2342,256,158,2906,257,174,2825,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6800,1800000006884,68,6800,2528,2355,250,154,2916,254,181,2832,220
single_mossy_woods_0084,Single Mossy Woods 0084,Mossy Woods,No Scent,No Scent,6900,1800000006984,69,6900,2535,2362,252,157,2930,254,177,2851,220
