sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,0,1800000000085,0,0,283,252,156,177,230,289,250,173,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,100,1800000000185,1,100,302,286,154,179,334,293,245,269,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,200,1800000000285,2,200,314,314,154,177,434,294,245,374,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,300,1800000000385,3,300,333,347,151,176,523,295,248,475,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,400,1800000000485,4,400,345,374,153,179,623,292,250,569,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,500,1800000000585,5,500,360,402,151,172,716,290,249,660,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,600,1800000000685,6,600,378,430,154,174,799,296,250,750,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,700,1800000000785,7,700,385,457,157,175,886,293,248,837,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,800,1800000000885,8,800,398,476,153,179,971,296,248,919,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,900,1800000000985,9,900,418,503,156,171,1056,296,246,1002,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,1000,1800000001085,10,1000,427,532,155,174,1133,295,249,1084,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,1100,1800000001185,11,1100,442,553,154,175,1213,295,251,1165,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,1200,1800000001285,12,1200,453,578,155,173,1288,294,249,1239,220
single_soft_amber_0085,Single Soft Amber 0085,Soft Amber,No Scent,No Scent,1300,1800000001385,13,1300,466,600,151,173,1359,296,247,1318,220
