sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_water_0054,Single Water 0054,Water,No Scent,No Scent,0,1800000000054,0,0,158,177,206,281,289,197,266,279,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,100,1800000000154,1,100,155,264,206,285,285,197,267,477,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,200,1800000000254,2,200,153,337,205,280,288,196,271,647,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,300,1800000000354,3,300,158,408,205,285,285,200,274,800,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,400,1800000000454,4,400,153,464,202,287,287,199,267,927,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,500,1800000000554,5,500,159,515,202,286,287,196,272,1043,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,600,1800000000654,6,600,155,561,203,284,287,199,268,1138,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,700,1800000000754,7,700,156,597,201,286,286,194,268,1225,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,800,1800000000854,8,800,161,631,205,285,288,198,273,1302,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,900,1800000000954,9,900,157,661,199,282,282,199,272,1372,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1000,1800000001054,10,1000,155,691,201,280,289,200,274,1426,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1100,1800000001154,11,1100,155,707,201,284,284,201,273,1476,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1200,1800000001254,12,1200,154,729,201,278,283,195,273,1518,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1300,1800000001354,13,1300,156,750,202,279,289,201,272,1555,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1400,1800000001454,14,1400,159,764,202,282,288,198,275,1595,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1500,1800000001554,15,1500,160,775,201,283,287,199,274,1623,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1600,1800000001654,16,1600,160,787,197,282,285,197,272,1643,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1700,1800000001754,17,1700,162,795,203,281,290,203,274,1669,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1800,1800000001854,18,1800,157,802,201,284,286,201,276,1687,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,1900,1800000001954,19,1900,157,809,201,279,285,203,272,1708,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,2000,1800000002054,20,2000,157,818,198,280,282,198,271,1722,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,2100,1800000002154,21,2100,160,827,199,279,289,203,272,1735,220
single_water_0054,Single Water 0054,Water,No Scent,No Scent,2200,1800000002254,22,2200,158,826,196,280,284,204,274,1740,220
