sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,0,1800000000056,0,0,186,172,181,258,242,244,250,216,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,100,1800000000156,1,100,276,190,187,260,244,245,248,296,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,200,1800000000256,2,200,362,213,186,261,243,245,248,370,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,300,1800000000356,3,300,447,234,187,259,245,241,249,438,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,400,1800000000456,4,400,535,255,185,256,246,246,254,513,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,500,1800000000556,5,500,610,269,185,256,246,244,248,582,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,600,1800000000656,6,600,692,288,186,253,244,243,252,652,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,700,1800000000756,7,700,769,311,183,257,241,243,250,714,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,800,1800000000856,8,800,838,322,181,259,246,240,254,779,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,900,1800000000956,9,900,916,340,184,252,245,244,254,840,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1000,1800000001056,10,1000,985,358,181,252,246,245,250,904,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1100,1800000001156,11,1100,1054,374,181,253,245,245,251,960,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1200,1800000001256,12,1200,1115,392,181,258,245,247,257,1019,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1300,1800000001356,13,1300,1180,406,182,251,245,245,250,1076,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1400,1800000001456,14,1400,1249,420,179,258,240,246,251,1134,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1500,1800000001556,15,1500,1312,439,186,256,245,244,252,1189,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1600,1800000001656,16,1600,1369,453,186,251,239,244,254,1235,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1700,1800000001756,17,1700,1427,461,180,256,241,246,258,1285,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1800,1800000001856,18,1800,1487,477,185,256,244,249,258,1336,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,1900,1800000001956,19,1900,1538,487,184,255,247,247,251,1386,220
single_woods_0056,Single Woods 0056,Woods,No Scent,No Scent,2000,1800000002056,20,2000,1594,501,179,252,247,243,251,1436,220
