sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,0,1800000000064,0,0,157,195,269,158,266,282,190,244,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,100,1800000000164,1,100,227,233,273,155,336,280,263,337,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,200,1800000000264,2,200,302,267,267,155,399,274,334,420,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,300,1800000000364,3,300,373,297,274,152,462,279,401,504,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,400,1800000000464,4,400,445,330,269,156,526,280,472,585,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,500,1800000000564,5,500,510,368,266,157,582,277,537,662,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,600,1800000000664,6,600,578,399,267,158,641,277,602,735,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,700,1800000000764,7,700,638,430,272,154,698,277,664,813,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,800,1800000000864,8,800,706,460,266,153,754,277,727,889,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,900,1800000000964,9,900,765,492,266,158,814,283,786,966,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1000,1800000001064,10,1000,830,515,265,154,868,280,848,1036,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1100,1800000001164,11,1100,891,551,270,153,918,279,907,1105,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1200,1800000001264,12,1200,943,575,271,155,971,282,962,1171,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1300,1800000001364,13,1300,1003,603,270,151,1024,280,1014,1237,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1400,1800000001464,14,1400,1062,633,268,155,1072,278,1071,1301,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1500,1800000001564,15,1500,1114,656,265,155,1122,283,1123,1364,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1600,1800000001664,16,1600,1167,682,271,153,1173,277,1172,1432,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1700,1800000001764,17,1700,1220,709,271,152,1216,280,1228,1495,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1800,1800000001864,18,1800,1275,729,270,152,1261,282,1275,1554,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,1900,1800000001964,19,1900,1321,754,269,156,1311,282,1329,1608,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2000,1800000002064,20,2000,1373,777,265,152,1352,285,1373,1666,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2100,1800000002164,21,2100,1421,802,268,149,1396,280,1422,1728,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2200,1800000002264,22,2200,1469,828,266,155,1436,278,1467,1779,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2300,1800000002364,23,2300,1514,848,264,154,1483,281,1510,1835,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2400,1800000002464,24,2400,1561,864,269,156,1517,284,1558,1884,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2500,1800000002564,25,2500,1606,886,266,152,1563,280,1594,1935,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2600,1800000002664,26,2600,1647,911,266,151,1603,285,1636,1990,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2700,1800000002764,27,2700,1688,928,266,155,1639,285,1681,2038,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2800,1800000002864,28,2800,1734,947,264,150,1677,282,1719,2090,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,2900,1800000002964,29,2900,1777,968,269,154,1710,287,1759,2134,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3000,1800000003064,30,3000,1813,991,267,155,1747,285,1796,2183,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3100,1800000003164,31,3100,1850,1004,262,154,1785,282,1836,2225,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3200,1800000003264,32,3200,1892,1021,266,153,1820,286,1871,2271,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3300,1800000003364,33,3300,1931,1042,262,155,1848,285,1910,2317,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3400,1800000003464,34,3400,1964,1058,262,153,1885,285,1949,2357,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3500,1800000003564,35,3500,1996,1079,262,153,1919,288,1981,2404,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3600,1800000003664,36,3600,2036,1091,265,154,1949,282,2011,2443,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3700,1800000003764,37,3700,2070,1109,260,156,1979,288,2046,2481,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3800,1800000003864,38,3800,2103,1125,264,152,2008,288,2077,2518,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,3900,1800000003964,39,3900,2134,1137,262,156,2039,287,2113,2558,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4000,1800000004064,40,4000,2166,1153,265,151,2065,283,2143,2599,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4100,1800000004164,41,4100,2203,1171,260,151,2094,282,2177,2630,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4200,1800000004264,42,4200,2228,1188,262,156,2123,281,2199,2667,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4300,1800000004364,43,4300,2261,1202,268,159,2151,282,2228,2706,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4400,1800000004464,44,4400,2287,1218,264,152,2177,288,2263,2742,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4500,1800000004564,45,4500,2321,1232,264,159,2206,281,2286,2772,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4600,1800000004664,46,4600,2351,1241,261,157,2230,284,2318,2805,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4700,1800000004764,47,4700,2373,1254,262,155,2258,282,2345,2836,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4800,1800000004864,48,4800,2406,1267,267,160,2278,288,2373,2874,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,4900,1800000004964,49,4900,2431,1281,265,155,2304,286,2397,2902,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5000,1800000005064,50,5000,2452,1291,266,156,2329,281,2424,2936,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5100,1800000005164,51,5100,2477,1304,264,160,2353,284,2444,2961,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5200,1800000005264,52,5200,2503,1318,265,158,2377,287,2468,2996,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5300,1800000005364,53,5300,2526,1328,265,156,2396,287,2494,3023,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5400,1800000005464,54,5400,2556,1343,262,156,2419,281,2514,3048,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5500,1800000005564,55,5500,2577,1354,264,154,2436,287,2536,3079,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5600,1800000005664,56,5600,2599,1366,266,159,2462,285,2563,3106,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5700,1800000005764,57,5700,2625,1378,270,154,2479,284,2583,3127,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5800,1800000005864,58,5800,2645,1386,265,160,2497,283,2602,3157,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,5900,1800000005964,59,5900,2664,1393,269,155,2520,279,2623,3179,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6000,1800000006064,60,6000,2684,1407,268,161,2538,280,2644,3210,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6100,1800000006164,61,6100,2707,1416,266,158,2557,278,2665,3231,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6200,1800000006264,62,6200,2728,1423,268,160,2571,279,2683,3257,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6300,1800000006364,63,6300,2750,1432,267,155,2588,284,2707,3279,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6400,1800000006464,64,6400,2771,1449,269,163,2605,282,2725,3301,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6500,1800000006564,65,6500,2783,1452,266,162,2626,279,2740,3324,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6600,1800000006664,66,6600,2805,1463,267,161,2645,284,2760,3345,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6700,1800000006764,67,6700,2820,1473,266,161,2659,278,2772,3370,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6800,1800000006864,68,6800,2845,1484,273,159,2674,277,2791,3391,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,6900,1800000006964,69,6900,2856,1490,269,158,2687,278,2807,3413,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7000,1800000007064,70,7000,2877,1498,273,159,2702,283,2829,3433,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7100,1800000007164,71,7100,2896,1511,269,160,2720,276,2842,3448,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7200,1800000007264,72,7200,2906,1514,270,157,2731,278,2857,3466,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7300,1800000007364,73,7300,2923,1525,269,157,2750,282,2876,3492,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7400,1800000007464,74,7400,2941,1534,269,159,2763,276,2889,3504,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7500,1800000007564,75,7500,2959,1539,271,161,2777,282,2902,3523,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7600,1800000007664,76,7600,2975,1543,272,156,2792,280,2922,3546,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7700,1800000007764,77,7700,2985,1557,275,163,2803,278,2931,3557,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7800,1800000007864,78,7800,3002,1560,273,156,2813,276,2946,3578,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,7900,1800000007964,79,7900,3014,1573,269,156,2827,277,2960,3597,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8000,1800000008064,80,8000,3034,1574,269,162,2838,276,2977,3609,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8100,1800000008164,81,8100,3044,1583,273,159,2854,277,2988,3631,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8200,1800000008264,82,8200,3055,1590,270,158,2859,281,3001,3645,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8300,1800000008364,83,8300,3070,1592,272,162,2873,276,3017,3658,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8400,1800000008464,84,8400,3083,1601,269,154,2884,275,3026,3676,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8500,1800000008564,85,8500,3099,1605,268,157,2895,279,3043,3693,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8600,1800000008664,86,8600,3113,1612,272,158,2904,274,3051,3704,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8700,1800000008764,87,8700,3121,1617,273,153,2918,274,3064,3718,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8800,1800000008864,88,8800,3137,1629,274,154,2930,278,3073,3734,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,8900,1800000008964,89,8900,3145,1629,269,154,2938,277,3089,3744,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9000,1800000009064,90,9000,3157,1637,272,160,2946,282,3102,3760,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9100,1800000009164,91,9100,3167,1643,268,159,2955,280,3111,3773,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9200,1800000009264,92,9200,3183,1645,273,154,2967,279,3122,3785,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9300,1800000009364,93,9300,3187,1657,267,153,2975,280,3127,3797,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9400,1800000009464,94,9400,3203,1660,271,155,2986,278,3139,3813,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9500,1800000009564,95,9500,3211,1664,271,154,2993,282,3149,3823,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9600,1800000009664,96,9600,3221,1665,266,158,3003,276,3158,3836,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9700,1800000009764,97,9700,3228,1676,271,156,3014,275,3171,3843,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9800,1800000009864,98,9800,3242,1677,273,158,3021,279,3183,3860,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,9900,1800000009964,99,9900,3248,1684,267,157,3029,281,3189,3866,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10000,1800000010064,100,10000,3261,1690,267,154,3037,282,3198,3881,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10100,1800000010164,101,10100,3271,1688,272,152,3045,281,3209,3886,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10200,1800000010264,102,10200,3281,1694,268,151,3057,279,3214,3903,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10300,1800000010364,103,10300,3291,1695,270,154,3065,283,3227,3912,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10400,1800000010464,104,10400,3292,1702,272,150,3067,282,3232,3922,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10500,1800000010564,105,10500,3306,1703,270,151,3072,282,3240,3928,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10600,1800000010664,106,10600,3316,1707,266,157,3082,282,3253,3942,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10700,1800000010764,107,10700,3323,1715,271,153,3089,279,3260,3949,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10800,1800000010864,108,10800,3327,1720,271,152,3096,285,3264,3954,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,10900,1800000010964,109,10900,3338,1720,264,150,3105,280,3275,3968,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11000,1800000011064,110,11000,3342,1724,266,154,3112,285,3280,3977,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11100,1800000011164,111,11100,3349,1730,270,155,3119,283,3287,3986,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11200,1800000011264,112,11200,3358,1733,269,153,3122,283,3294,3994,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11300,1800000011364,113,11300,3362,1735,267,156,3133,284,3301,3999,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11400,1800000011464,114,11400,3372,1738,266,154,3136,282,3309,4004,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11500,1800000011564,115,11500,3380,1743,266,155,3147,285,3312,4010,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11600,1800000011664,116,11600,3386,1745,268,150,3148,281,3323,4020,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11700,1800000011764,117,11700,3393,1745,266,150,3152,281,3327,4029,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11800,1800000011864,118,11800,3399,1745,263,151,3162,286,3333,4034,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,11900,1800000011964,119,11900,3405,1749,266,149,3167,285,3341,4040,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12000,1800000012064,120,12000,3408,1756,264,156,3174,284,3345,4046,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12100,1800000012164,121,12100,3414,1753,267,155,3175,283,3349,4055,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12200,1800000012264,122,12200,3418,1760,268,151,3181,283,3356,4061,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12300,1800000012364,123,12300,3428,1762,263,153,3192,282,3362,4066,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12400,1800000012464,124,12400,3427,1766,263,154,3194,287,3362,4076,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12500,1800000012564,125,12500,3427,1764,263,153,3195,284,3361,4073,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12600,1800000012664,126,12600,3422,1761,267,154,3185,284,3356,4067,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12700,1800000012764,127,12700,3418,1760,266,157,3183,283,3356,4061,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12800,1800000012864,128,12800,3418,1752,266,154,3179,285,3351,4058,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,12900,1800000012964,129,12900,3410,1750,263,156,3179,282,3342,4055,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,13000,1800000013064,130,13000,3403,1748,268,156,3179,286,3340,4047,220
single_woody_amber_0064,Single Woody Amber 0064,Woody Amber,No Scent,No Scent,13100,1800000013164,131,13100,3399,1748,266,156,3171,283,3337,4042,220
