sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,0,1800000000024,0,0,288,288,239,185,206,235,267,274,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,100,1800000000124,1,100,287,286,240,187,207,235,269,277,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,200,1800000000224,2,200,290,291,239,182,202,236,269,272,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,300,1800000000324,3,300,293,290,240,183,209,233,266,278,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,400,1800000000424,4,400,295,287,236,182,207,231,267,272,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,500,1800000000524,5,500,289,285,240,181,203,235,272,277,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,600,1800000000624,6,600,292,285,240,182,207,235,270,273,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,700,1800000000724,7,700,290,289,239,186,205,231,271,275,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,800,1800000000824,8,800,295,288,236,186,204,232,268,278,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,900,1800000000924,9,900,292,287,241,184,208,235,272,278,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,1000,1800000001024,10,1000,292,286,238,183,204,232,273,279,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,1100,1800000001124,11,1100,292,292,241,184,208,237,273,275,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,1200,1800000001224,12,1200,291,289,235,179,202,236,272,278,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,1300,1800000001324,13,1300,295,291,240,185,207,237,272,273,220
no_scent_0024,No Scent 0024,No Scent,No Scent,No Scent,1400,1800000001424,14,1400,296,289,238,183,205,231,271,276,220
