sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,0,1800000000086,0,0,261,292,194,183,292,211,211,281,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,100,1800000000186,1,100,413,543,193,382,513,214,217,517,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,200,1800000000286,2,200,553,776,189,563,705,212,215,740,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,300,1800000000386,3,300,690,987,193,735,898,214,213,943,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,400,1800000000486,4,400,810,1189,188,892,1064,217,218,1130,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,500,1800000000586,5,500,922,1370,188,1036,1223,216,215,1304,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,600,1800000000686,6,600,1028,1540,195,1171,1371,216,215,1467,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,700,1800000000786,7,700,1124,1700,189,1298,1504,213,218,1622,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,800,1800000000886,8,800,1210,1844,189,1413,1634,212,213,1760,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,900,1800000000986,9,900,1292,1974,189,1519,1749,215,213,1887,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1000,1800000001086,10,1000,1372,2104,189,1618,1857,214,214,2002,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1100,1800000001186,11,1100,1446,2217,193,1709,1957,216,214,2112,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1200,1800000001286,12,1200,1506,2324,189,1792,2044,214,220,2214,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1300,1800000001386,13,1300,1566,2422,191,1866,2128,215,213,2310,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1400,1800000001486,14,1400,1624,2511,194,1939,2210,213,219,2396,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1500,1800000001586,15,1500,1674,2591,193,2007,2282,218,218,2473,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1600,1800000001686,16,1600,1724,2674,189,2067,2347,218,214,2548,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1700,1800000001786,17,1700,1765,2744,188,2122,2414,220,217,2616,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1800,1800000001886,18,1800,1809,2812,187,2177,2467,219,220,2675,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,1900,1800000001986,19,1900,1848,2871,192,2226,2519,214,216,2736,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2000,1800000002086,20,2000,1882,2931,192,2275,2568,221,218,2789,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2100,1800000002186,21,2100,1912,2983,186,2311,2616,218,216,2840,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2200,1800000002286,22,2200,1942,3025,189,2353,2655,216,216,2884,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2300,1800000002386,23,2300,1970,3070,187,2390,2698,219,219,2932,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2400,1800000002486,24,2400,1998,3112,186,2424,2735,214,215,2968,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2500,1800000002586,25,2500,2024,3153,189,2454,2764,217,217,3002,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2600,1800000002686,26,2600,2040,3187,188,2476,2801,215,218,3040,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2700,1800000002786,27,2700,2068,3219,183,2508,2830,223,221,3071,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2800,1800000002886,28,2800,2081,3252,184,2530,2853,216,222,3102,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,2900,1800000002986,29,2900,2098,3281,190,2550,2877,221,215,3128,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3000,1800000003086,30,3000,2114,3305,189,2571,2897,220,220,3150,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3100,1800000003186,31,3100,2129,3330,183,2595,2925,217,216,3175,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3200,1800000003286,32,3200,2145,3350,182,2608,2940,216,217,3197,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3300,1800000003386,33,3300,2153,3371,190,2626,2962,219,216,3216,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3400,1800000003486,34,3400,2167,3393,189,2646,2977,221,219,3231,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3500,1800000003586,35,3500,2181,3404,186,2653,2995,220,215,3245,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3600,1800000003686,36,3600,2191,3423,184,2671,3004,221,218,3260,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3700,1800000003786,37,3700,2199,3435,185,2685,3019,217,216,3275,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3800,1800000003886,38,3800,2208,3449,184,2692,3033,216,214,3291,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,3900,1800000003986,39,3900,2212,3467,184,2700,3042,222,221,3300,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,4000,1800000004086,40,4000,2224,3474,184,2710,3053,223,215,3310,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,4100,1800000004186,41,4100,2225,3486,188,2722,3062,221,213,3319,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,4200,1800000004286,42,4200,2233,3494,186,2730,3074,221,216,3331,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,4300,1800000004386,43,4300,2242,3505,182,2740,3083,216,216,3342,220
single_aromatic_0086,Single Aromatic 0086,Aromatic,No Scent,No Scent,4400,1800000004486,44,4400,2242,3519,190,2745,3090,220,219,3346,220
