sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,0,1800000000099,0,0,286,182,285,252,190,248,271,190,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,100,1800000000199,1,100,1015,618,973,992,191,243,272,661,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,200,1800000000299,2,200,1586,959,1514,1569,186,241,269,1024,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,300,1800000000399,3,300,2033,1218,1932,2021,186,242,270,1317,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,400,1800000000499,4,400,2381,1429,2257,2373,192,244,273,1542,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,500,1800000000599,5,500,2658,1592,2517,2652,186,245,267,1716,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,600,1800000000699,6,600,2869,1716,2715,2866,185,247,266,1860,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,700,1800000000799,7,700,3041,1816,2874,3041,192,244,271,1960,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,800,1800000000899,8,800,3169,1893,2998,3170,191,247,267,2048,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,900,1800000000999,9,900,3274,1955,3090,3273,190,247,268,2114,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1000,1800000001099,10,1000,3351,2005,3166,3354,189,243,269,2170,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1100,1800000001199,11,1100,3411,2040,3228,3415,188,245,272,2210,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1200,1800000001299,12,1200,3466,2068,3270,3466,189,249,269,2238,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1300,1800000001399,13,1300,3500,2087,3307,3506,192,247,270,2262,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1400,1800000001499,14,1400,3536,2103,3331,3533,189,247,274,2281,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1500,1800000001599,15,1500,3558,2118,3354,3559,188,248,271,2299,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1600,1800000001699,16,1600,3576,2134,3369,3574,188,243,272,2305,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1700,1800000001799,17,1700,3587,2139,3387,3593,189,249,274,2317,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1800,1800000001899,18,1800,3599,2142,3397,3599,186,247,271,2321,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,1900,1800000001999,19,1900,3606,2151,3402,3609,193,251,272,2328,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2000,1800000002099,20,2000,3616,2153,3408,3618,186,246,271,2332,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2100,1800000002199,21,2100,3624,2155,3414,3619,190,250,269,2341,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2200,1800000002299,22,2200,3622,2164,3419,3624,192,248,275,2342,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2300,1800000002399,23,2300,3625,2162,3419,3629,193,247,270,2344,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2400,1800000002499,24,2400,3634,2162,3420,3629,191,250,273,2342,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2500,1800000002599,25,2500,3634,2166,3426,3635,189,251,271,2344,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2600,1800000002699,26,2600,3636,2161,3425,3633,190,246,273,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2700,1800000002799,27,2700,3635,2169,3427,3639,187,247,273,2343,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2800,1800000002899,28,2800,3639,2162,3426,3641,193,253,272,2350,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,2900,1800000002999,29,2900,3634,2167,3427,3638,191,249,273,2348,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3000,1800000003099,30,3000,3635,2169,3431,3640,193,247,273,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3100,1800000003199,31,3100,3638,2162,3425,3640,193,251,275,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3200,1800000003299,32,3200,3639,2166,3426,3645,193,252,272,2351,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3300,1800000003399,33,3300,3637,2163,3430,3640,191,250,269,2348,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3400,1800000003499,34,3400,3640,2170,3433,3644,195,249,274,2350,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3500,1800000003599,35,3500,3640,2166,3426,3642,195,248,273,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3600,1800000003699,36,3600,3641,2167,3428,3642,193,251,270,2350,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3700,1800000003799,37,3700,3634,2162,3429,3646,194,250,275,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3800,1800000003899,38,3800,3637,2166,3431,3643,195,251,275,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,3900,1800000003999,39,3900,3635,2166,3431,3640,191,253,272,2344,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4000,1800000004099,40,4000,3639,2161,3430,3643,193,249,268,2346,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4100,1800000004199,41,4100,3634,2164,3433,3642,194,254,272,2349,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4200,1800000004299,42,4200,3639,2161,3432,3643,196,247,271,2347,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4300,1800000004399,43,4300,3640,2161,3427,3647,196,252,269,2344,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4400,1800000004499,44,4400,3637,2162,3433,3645,192,252,269,2342,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4500,1800000004599,45,4500,3640,2160,3431,3649,193,253,270,2342,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4600,1800000004699,46,4600,3633,2164,3432,3648,195,247,272,2346,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4700,1800000004799,47,4700,3635,2166,3427,3642,197,249,273,2348,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4800,1800000004899,48,4800,3602,2139,3402,3611,193,250,269,2322,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,4900,1800000004999,49,4900,3478,2083,3304,3512,196,247,267,2246,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5000,1800000005099,50,5000,3369,2022,3211,3410,193,250,268,2178,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5100,1800000005199,51,5100,3259,1958,3118,3311,195,250,268,2113,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5200,1800000005299,52,5200,3158,1903,3027,3216,198,252,270,2040,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5300,1800000005399,53,5300,3058,1845,2947,3125,193,249,270,1978,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5400,1800000005499,54,5400,2961,1790,2862,3031,198,253,272,1914,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5500,1800000005599,55,5500,2867,1739,2778,2951,197,248,265,1857,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5600,1800000005699,56,5600,2771,1687,2702,2868,195,248,268,1804,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5700,1800000005799,57,5700,2689,1637,2631,2785,191,247,270,1749,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5800,1800000005899,58,5800,2606,1592,2554,2709,196,248,270,1693,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,5900,1800000005999,59,5900,2524,1551,2488,2632,198,248,270,1640,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6000,1800000006099,60,6000,2446,1505,2414,2554,191,247,264,1591,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6100,1800000006199,61,6100,2370,1461,2349,2483,196,249,268,1545,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6200,1800000006299,62,6200,2292,1419,2282,2414,198,249,269,1496,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6300,1800000006399,63,6300,2221,1377,2221,2347,191,246,265,1450,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6400,1800000006499,64,6400,2156,1337,2166,2284,193,245,265,1408,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6500,1800000006599,65,6500,2090,1305,2107,2220,194,247,266,1368,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6600,1800000006699,66,6600,2024,1264,2049,2158,192,247,267,1324,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6700,1800000006799,67,6700,1961,1230,1995,2098,191,244,265,1284,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6800,1800000006899,68,6800,1906,1195,1941,2040,194,243,262,1248,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,6900,1800000006999,69,6900,1847,1165,1887,1987,192,245,266,1209,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7000,1800000007099,70,7000,1794,1137,1843,1934,193,248,264,1178,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7100,1800000007199,71,7100,1740,1100,1790,1879,195,247,265,1143,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7200,1800000007299,72,7200,1688,1071,1743,1831,191,248,266,1110,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7300,1800000007399,73,7300,1644,1046,1698,1778,191,245,262,1076,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7400,1800000007499,74,7400,1597,1018,1653,1732,194,242,264,1049,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7500,1800000007599,75,7500,1548,990,1615,1687,191,247,267,1017,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7600,1800000007699,76,7600,1507,967,1569,1643,189,248,264,989,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7700,1800000007799,77,7700,1462,936,1530,1598,191,243,268,961,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7800,1800000007899,78,7800,1422,919,1494,1560,188,241,269,941,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,7900,1800000007999,79,7900,1379,895,1457,1521,194,240,265,911,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8000,1800000008099,80,8000,1341,870,1418,1477,191,246,263,884,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8100,1800000008199,81,8100,1303,851,1381,1439,191,241,264,863,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8200,1800000008299,82,8200,1266,830,1350,1402,188,245,268,843,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8300,1800000008399,83,8300,1234,803,1315,1366,187,247,264,814,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8400,1800000008499,84,8400,1203,787,1288,1330,187,246,263,797,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8500,1800000008599,85,8500,1170,764,1253,1299,190,244,268,778,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8600,1800000008699,86,8600,1135,744,1226,1266,193,240,269,757,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8700,1800000008799,87,8700,1107,730,1198,1234,188,240,267,736,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8800,1800000008899,88,8800,1077,715,1165,1201,187,240,267,722,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,8900,1800000008999,89,8900,1055,693,1137,1174,191,247,270,696,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9000,1800000009099,90,9000,1023,678,1108,1142,188,243,267,683,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9100,1800000009199,91,9100,996,665,1089,1118,189,248,271,663,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9200,1800000009299,92,9200,974,650,1061,1090,191,241,266,647,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9300,1800000009399,93,9300,947,632,1039,1063,188,244,265,638,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9400,1800000009499,94,9400,927,617,1017,1038,186,246,269,618,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9500,1800000009599,95,9500,909,607,992,1013,190,248,271,604,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9600,1800000009699,96,9600,883,590,972,988,188,245,268,587,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9700,1800000009799,97,9700,866,581,950,968,187,244,267,572,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9800,1800000009899,98,9800,844,562,928,944,185,241,267,563,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,9900,1800000009999,99,9900,821,555,909,921,187,245,271,547,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10000,1800000010099,100,10000,806,539,887,901,186,242,273,541,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10100,1800000010199,101,10100,789,527,867,879,184,246,273,523,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10200,1800000010299,102,10200,766,518,850,857,187,245,272,515,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10300,1800000010399,103,10300,756,509,830,841,190,247,274,503,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10400,1800000010499,104,10400,733,496,812,819,186,245,272,490,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10500,1800000010599,105,10500,718,485,798,803,191,246,271,482,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10600,1800000010699,106,10600,704,478,782,786,186,245,271,472,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10700,1800000010799,107,10700,692,469,763,768,187,250,273,460,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10800,1800000010899,108,10800,676,454,748,755,187,246,268,451,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,10900,1800000010999,109,10900,665,450,737,734,190,247,271,442,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11000,1800000011099,110,11000,647,437,718,726,187,247,274,436,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11100,1800000011199,111,11100,637,434,704,711,191,245,270,424,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11200,1800000011299,112,11200,626,425,695,691,193,251,272,420,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11300,1800000011399,113,11300,612,411,678,675,187,249,268,405,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11400,1800000011499,114,11400,605,409,665,666,185,247,273,403,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11500,1800000011599,115,11500,587,396,656,654,190,252,272,392,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11600,1800000011699,116,11600,579,388,646,638,187,252,269,386,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11700,1800000011799,117,11700,571,386,631,628,193,249,276,376,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11800,1800000011899,118,11800,558,377,619,618,188,252,269,372,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,11900,1800000011999,119,11900,549,368,610,607,187,253,269,367,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12000,1800000012099,120,12000,542,365,602,597,190,251,270,357,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12100,1800000012199,121,12100,533,356,589,587,192,246,273,353,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12200,1800000012299,122,12200,520,351,579,576,193,251,275,346,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12300,1800000012399,123,12300,517,347,567,565,191,252,269,342,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12400,1800000012499,124,12400,504,344,563,555,192,246,268,332,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12500,1800000012599,125,12500,497,337,550,542,194,246,270,329,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12600,1800000012699,126,12600,491,328,542,536,195,250,273,323,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12700,1800000012799,127,12700,481,329,532,529,191,250,273,324,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12800,1800000012899,128,12800,475,324,528,520,189,250,271,315,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,12900,1800000012999,129,12900,466,313,522,511,197,253,270,307,220
single_citrus_0099,Single Citrus 0099,Citrus,No Scent,No Scent,13000,1800000013099,130,13000,463,312,514,504,193,247,271,307,220
