sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,0,1800000000062,0,0,212,182,225,157,238,194,155,221,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,100,1800000000162,1,100,254,201,223,160,322,194,231,300,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,200,1800000000262,2,200,292,225,223,162,397,193,305,378,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,300,1800000000362,3,300,335,250,226,157,475,187,379,454,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,400,1800000000462,4,400,371,266,220,157,550,191,453,534,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,500,1800000000562,5,500,403,291,222,157,623,191,524,606,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,600,1800000000662,6,600,442,308,221,154,692,193,584,679,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,700,1800000000762,7,700,477,327,223,154,758,190,657,750,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,800,1800000000862,8,800,507,347,222,156,824,193,718,821,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,900,1800000000962,9,900,545,370,220,156,890,195,778,892,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1000,1800000001062,10,1000,576,385,219,156,958,193,839,956,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1100,1800000001162,11,1100,610,408,220,155,1022,193,905,1022,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1200,1800000001262,12,1200,641,425,217,155,1085,190,964,1083,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1300,1800000001362,13,1300,669,442,220,159,1147,190,1018,1145,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1400,1800000001462,14,1400,696,459,220,154,1204,195,1074,1202,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1500,1800000001562,15,1500,727,471,220,156,1257,193,1132,1261,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1600,1800000001662,16,1600,756,484,219,153,1314,196,1180,1322,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1700,1800000001762,17,1700,785,503,222,154,1373,195,1234,1380,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1800,1800000001862,18,1800,811,517,223,159,1424,196,1288,1430,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,1900,1800000001962,19,1900,840,535,222,153,1479,195,1340,1487,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2000,1800000002062,20,2000,863,546,222,159,1530,198,1385,1537,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2100,1800000002162,21,2100,887,561,220,153,1580,192,1435,1591,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2200,1800000002262,22,2200,914,574,220,157,1626,196,1482,1639,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2300,1800000002362,23,2300,941,587,219,158,1675,194,1524,1692,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2400,1800000002462,24,2400,961,606,214,155,1723,193,1574,1739,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2500,1800000002562,25,2500,985,617,220,158,1772,195,1614,1788,220
single_dry_woods_0062,Single Dry Woods 0062,Dry Woods,No Scent,No Scent,2600,1800000002662,26,2600,1005,632,219,156,1818,197,1661,1830,220
