sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,0,1800000000053,0,0,211,153,300,225,237,194,183,178,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,100,1800000000153,1,100,267,361,302,225,435,196,348,401,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,200,1800000000253,2,200,320,554,302,219,630,197,508,607,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,300,1800000000353,3,300,375,733,301,218,807,199,662,803,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,400,1800000000453,4,400,417,908,299,225,973,195,801,983,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,500,1800000000553,5,500,464,1069,301,218,1127,201,934,1160,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,600,1800000000653,6,600,510,1223,302,221,1279,199,1060,1326,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,700,1800000000753,7,700,546,1362,301,224,1420,200,1173,1482,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,800,1800000000853,8,800,582,1500,302,217,1555,197,1289,1626,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,900,1800000000953,9,900,623,1631,298,219,1675,195,1392,1765,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,1000,1800000001053,10,1000,653,1748,302,217,1792,199,1494,1892,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,1100,1800000001153,11,1100,684,1861,303,217,1907,197,1585,2015,220
single_floral_amber_0053,Single Floral Amber 0053,Floral Amber,No Scent,No Scent,1200,1800000001253,12,1200,717,1968,303,217,2011,196,1674,2129,220
