sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,0,1800000000059,0,0,291,233,284,302,189,279,266,169,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,100,1800000000159,1,100,372,564,283,296,192,280,260,354,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,200,1800000000259,2,200,444,857,290,302,191,278,262,531,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,300,1800000000359,3,300,509,1129,283,297,186,284,266,684,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,400,1800000000459,4,400,572,1369,285,295,184,285,263,828,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,500,1800000000559,5,500,629,1596,288,298,189,283,260,957,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,600,1800000000659,6,600,681,1803,286,295,184,284,262,1069,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,700,1800000000759,7,700,726,1986,289,295,189,287,265,1178,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,800,1800000000859,8,800,765,2149,282,293,191,286,265,1275,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,900,1800000000959,9,900,802,2301,281,293,185,286,268,1360,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1000,1800000001059,10,1000,834,2441,285,299,189,283,264,1446,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1100,1800000001159,11,1100,869,2570,283,299,190,287,266,1520,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1200,1800000001259,12,1200,892,2682,284,298,185,288,265,1584,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1300,1800000001359,13,1300,923,2789,283,298,185,282,268,1645,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1400,1800000001459,14,1400,945,2883,281,296,188,286,264,1697,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1500,1800000001559,15,1500,965,2965,287,292,187,282,265,1749,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1600,1800000001659,16,1600,988,3044,288,292,184,286,264,1795,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1700,1800000001759,17,1700,1002,3117,286,293,188,282,270,1834,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1800,1800000001859,18,1800,1021,3182,282,292,191,281,270,1867,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,1900,1800000001959,19,1900,1034,3235,286,297,188,288,268,1900,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2000,1800000002059,20,2000,1042,3295,283,296,185,284,267,1936,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2100,1800000002159,21,2100,1060,3339,282,295,189,288,265,1959,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2200,1800000002259,22,2200,1066,3387,284,297,188,287,266,1988,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2300,1800000002359,23,2300,1078,3426,281,297,186,289,271,2007,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2400,1800000002459,24,2400,1091,3457,280,296,189,283,270,2028,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2500,1800000002559,25,2500,1092,3494,278,298,187,284,268,2052,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2600,1800000002659,26,2600,1102,3524,280,297,190,290,264,2067,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2700,1800000002759,27,2700,1111,3551,282,294,192,288,268,2081,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2800,1800000002859,28,2800,1112,3576,279,297,186,287,268,2099,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,2900,1800000002959,29,2900,1118,3599,278,293,194,288,265,2108,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3000,1800000003059,30,3000,1125,3621,279,295,192,286,271,2120,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3100,1800000003159,31,3100,1129,3632,281,292,188,287,269,2133,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3200,1800000003259,32,3200,1133,3651,283,298,188,290,269,2142,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3300,1800000003359,33,3300,1141,3667,283,296,188,291,268,2148,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3400,1800000003459,34,3400,1141,3680,278,297,192,290,271,2156,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3500,1800000003559,35,3500,1149,3690,279,296,192,289,268,2166,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3600,1800000003659,36,3600,1144,3709,276,295,188,285,267,2171,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3700,1800000003759,37,3700,1152,3712,277,294,194,292,266,2173,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3800,1800000003859,38,3800,1150,3724,284,299,195,291,265,2179,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,3900,1800000003959,39,3900,1154,3732,278,298,190,290,267,2188,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4000,1800000004059,40,4000,1152,3742,281,300,190,290,265,2190,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4100,1800000004159,41,4100,1158,3752,278,298,190,292,265,2193,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4200,1800000004259,42,4200,1158,3752,282,300,192,285,263,2202,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4300,1800000004359,43,4300,1156,3763,282,297,191,292,267,2204,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4400,1800000004459,44,4400,1162,3763,284,295,194,289,264,2203,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4500,1800000004559,45,4500,1164,3768,278,300,196,292,263,2210,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4600,1800000004659,46,4600,1159,3771,282,298,191,286,263,2208,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4700,1800000004759,47,4700,1162,3778,281,302,190,285,263,2212,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4800,1800000004859,48,4800,1166,3786,284,300,197,286,261,2210,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,4900,1800000004959,49,4900,1167,3782,282,301,190,286,268,2214,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5000,1800000005059,50,5000,1163,3787,284,301,195,287,268,2213,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5100,1800000005159,51,5100,1169,3792,282,300,196,290,265,2217,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5200,1800000005259,52,5200,1163,3796,284,300,192,290,263,2222,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5300,1800000005359,53,5300,1167,3796,284,301,194,291,266,2224,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5400,1800000005459,54,5400,1163,3794,285,304,195,287,263,2222,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5500,1800000005559,55,5500,1171,3799,283,300,196,288,262,2221,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5600,1800000005659,56,5600,1167,3800,287,299,194,290,263,2225,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5700,1800000005759,57,5700,1170,3802,283,298,193,288,260,2223,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5800,1800000005859,58,5800,1167,3808,282,297,194,291,264,2225,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,5900,1800000005959,59,5900,1168,3810,284,303,191,286,263,2226,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6000,1800000006059,60,6000,1164,3805,286,300,194,287,258,2223,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6100,1800000006159,61,6100,1168,3807,281,304,195,284,260,2225,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6200,1800000006259,62,6200,1172,3812,285,302,191,288,258,2225,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6300,1800000006359,63,6300,1170,3813,284,305,191,287,264,2231,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6400,1800000006459,64,6400,1169,3810,282,299,192,282,263,2232,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6500,1800000006559,65,6500,1163,3789,284,302,194,287,259,2214,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6600,1800000006659,66,6600,1151,3723,284,302,193,287,261,2185,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6700,1800000006759,67,6700,1135,3665,283,304,193,281,259,2155,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6800,1800000006859,68,6800,1120,3601,288,301,195,287,263,2125,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,6900,1800000006959,69,6900,1107,3545,290,305,190,285,259,2095,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,7000,1800000007059,70,7000,1099,3485,282,298,197,282,262,2058,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,7100,1800000007159,71,7100,1088,3427,287,302,191,285,262,2031,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,7200,1800000007259,72,7200,1076,3376,285,300,192,281,260,2004,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,7300,1800000007359,73,7300,1058,3320,288,306,188,285,261,1973,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,7400,1800000007459,74,7400,1049,3261,289,299,190,284,265,1942,220
single_fruity_0059,Single Fruity 0059,Fruity,No Scent,No Scent,7500,1800000007559,75,7500,1034,3209,286,301,188,286,263,1918,220
