sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_green_0058,Single Green 0058,Green,No Scent,No Scent,0,1800000000058,0,0,225,288,254,260,267,151,177,267,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,100,1800000000158,1,100,228,620,255,302,269,144,185,638,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,200,1800000000258,2,200,225,907,248,338,270,146,179,961,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,300,1800000000358,3,300,232,1153,251,368,266,150,181,1230,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,400,1800000000458,4,400,230,1369,251,402,271,148,184,1467,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,500,1800000000558,5,500,230,1553,250,418,265,149,183,1667,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,600,1800000000658,6,600,232,1704,250,443,272,150,183,1839,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,700,1800000000758,7,700,232,1838,254,461,271,146,181,1981,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,800,1800000000858,8,800,231,1951,251,475,268,146,181,2112,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,900,1800000000958,9,900,228,2052,254,490,269,146,184,2220,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,1000,1800000001058,10,1000,230,2134,254,501,272,152,187,2311,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,1100,1800000001158,11,1100,226,2212,254,510,269,148,181,2394,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,1200,1800000001258,12,1200,226,2269,250,517,268,152,184,2465,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,1300,1800000001358,13,1300,228,2327,252,518,269,152,184,2521,220
single_green_0058,Single Green 0058,Green,No Scent,No Scent,1400,1800000001458,14,1400,234,2371,252,530,272,152,181,2571,220
