sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,0,1800000000091,0,0,210,223,243,202,193,149,225,280,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,100,1800000000191,1,100,232,253,241,196,289,151,226,377,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,200,1800000000291,2,200,246,272,238,197,390,154,221,469,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,300,1800000000391,3,300,263,295,241,200,480,149,219,568,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,400,1800000000491,4,400,283,318,241,194,579,156,224,650,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,500,1800000000591,5,500,305,343,240,198,669,156,226,738,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,600,1800000000691,6,600,318,368,241,194,757,155,221,828,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,700,1800000000791,7,700,332,385,241,197,841,153,222,907,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,800,1800000000891,8,800,353,405,243,196,927,156,221,985,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,900,1800000000991,9,900,363,422,242,193,1010,155,225,1067,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1000,1800000001091,10,1000,382,444,235,199,1091,156,221,1144,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1100,1800000001191,11,1100,395,466,239,196,1166,157,228,1218,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1200,1800000001291,12,1200,407,486,237,200,1245,155,221,1292,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1300,1800000001391,13,1300,424,500,238,196,1312,153,227,1360,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1400,1800000001491,14,1400,441,519,241,197,1384,159,224,1431,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1500,1800000001591,15,1500,455,537,235,192,1458,156,229,1494,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1600,1800000001691,16,1600,465,550,236,193,1526,156,224,1560,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1700,1800000001791,17,1700,479,569,237,196,1589,158,230,1628,220
single_soft_amber_0091,Single Soft Amber 0091,Soft Amber,No Scent,No Scent,1800,1800000001891,18,1800,490,587,236,198,1653,156,224,1685,220
