sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,0,1800000000068,0,0,182,188,245,301,214,214,200,209,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,100,1800000000168,1,100,186,289,243,295,303,210,206,309,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,200,1800000000268,2,200,184,378,244,297,389,216,202,410,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,300,1800000000368,3,300,186,474,243,298,469,217,205,508,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,400,1800000000468,4,400,182,554,239,297,550,216,207,596,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,500,1800000000568,5,500,180,637,241,299,623,215,208,683,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,600,1800000000668,6,600,183,714,240,297,694,211,203,771,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,700,1800000000768,7,700,186,785,245,291,757,212,203,849,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,800,1800000000868,8,800,187,854,240,293,824,216,207,920,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,900,1800000000968,9,900,185,920,243,298,882,211,203,990,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1000,1800000001068,10,1000,184,982,237,291,942,212,207,1059,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1100,1800000001168,11,1100,183,1042,239,291,996,216,204,1123,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1200,1800000001268,12,1200,187,1104,243,292,1052,216,209,1183,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1300,1800000001368,13,1300,190,1154,238,295,1099,216,210,1235,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1400,1800000001468,14,1400,182,1205,237,296,1144,218,208,1291,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1500,1800000001568,15,1500,190,1253,237,297,1194,214,207,1340,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1600,1800000001668,16,1600,183,1304,240,294,1235,215,208,1395,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1700,1800000001768,17,1700,187,1349,242,291,1277,219,209,1442,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1800,1800000001868,18,1800,183,1386,237,297,1308,213,208,1486,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,1900,1800000001968,19,1900,183,1427,236,294,1349,217,210,1523,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,2000,1800000002068,20,2000,186,1463,242,296,1381,213,208,1563,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,2100,1800000002168,21,2100,184,1500,239,295,1417,216,208,1604,220
single_soft_floral_0068,Single Soft Floral 0068,Soft Floral,No Scent,No Scent,2200,1800000002268,22,2200,183,1537,241,293,1446,220,208,1639,220
