sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_water_0051,Single Water 0051,Water,No Scent,No Scent,0,1800000000051,0,0,213,200,302,185,251,251,181,169,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,100,1800000000151,1,100,211,256,303,181,251,253,179,358,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,200,1800000000251,2,200,212,312,299,180,256,255,178,532,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,300,1800000000351,3,300,207,355,298,186,255,255,181,678,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,400,1800000000451,4,400,209,395,298,183,257,253,178,812,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,500,1800000000551,5,500,208,432,297,183,251,253,182,934,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,600,1800000000651,6,600,214,470,302,183,249,252,183,1039,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,700,1800000000751,7,700,208,499,296,185,256,253,180,1140,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,800,1800000000851,8,800,208,526,298,179,255,254,180,1224,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,900,1800000000951,9,900,213,547,296,183,250,252,184,1297,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1000,1800000001051,10,1000,211,565,300,179,250,254,179,1369,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1100,1800000001151,11,1100,209,587,300,182,251,253,183,1429,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1200,1800000001251,12,1200,210,606,299,179,255,256,180,1483,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1300,1800000001351,13,1300,210,621,301,177,256,251,180,1531,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1400,1800000001451,14,1400,213,632,300,182,250,252,186,1570,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1500,1800000001551,15,1500,211,639,295,184,250,251,186,1608,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1600,1800000001651,16,1600,210,653,300,178,250,258,187,1647,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1700,1800000001751,17,1700,209,660,300,181,250,255,185,1672,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1800,1800000001851,18,1800,211,666,299,182,253,257,183,1703,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,1900,1800000001951,19,1900,211,681,296,183,251,256,187,1725,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2000,1800000002051,20,2000,213,687,295,178,253,259,187,1749,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2100,1800000002151,21,2100,216,692,295,176,250,260,184,1764,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2200,1800000002251,22,2200,213,694,294,181,258,254,185,1783,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2300,1800000002351,23,2300,213,698,293,178,256,261,185,1795,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2400,1800000002451,24,2400,210,706,293,179,251,258,182,1810,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2500,1800000002551,25,2500,212,704,294,177,253,259,187,1825,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2600,1800000002651,26,2600,213,712,296,180,254,261,181,1829,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2700,1800000002751,27,2700,214,711,293,177,255,257,180,1844,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2800,1800000002851,28,2800,213,714,296,182,254,256,185,1852,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,2900,1800000002951,29,2900,214,718,296,177,253,260,183,1860,220
single_water_0051,Single Water 0051,Water,No Scent,No Scent,3000,1800000003051,30,3000,212,718,294,178,257,260,186,1864,220
