sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,0,1800000000078,0,0,287,265,242,197,275,165,236,213,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,100,1800000000178,1,100,367,280,244,191,277,165,236,292,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,200,1800000000278,2,200,452,297,244,198,277,162,239,364,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,300,1800000000378,3,300,530,309,240,197,273,161,234,433,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,400,1800000000478,4,400,609,325,247,193,278,165,236,502,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,500,1800000000578,5,500,681,338,246,191,273,164,236,568,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,600,1800000000678,6,600,755,354,246,194,275,162,235,631,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,700,1800000000778,7,700,822,367,240,189,276,164,239,698,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,800,1800000000878,8,800,892,385,244,193,277,160,239,758,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,900,1800000000978,9,900,960,394,242,194,280,164,236,824,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1000,1800000001078,10,1000,1028,409,240,196,279,162,242,882,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1100,1800000001178,11,1100,1089,418,243,189,273,164,237,937,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1200,1800000001278,12,1200,1153,435,242,195,278,163,240,992,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1300,1800000001378,13,1300,1215,442,238,187,277,161,238,1046,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1400,1800000001478,14,1400,1271,456,239,193,275,163,242,1097,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1500,1800000001578,15,1500,1330,467,237,187,277,166,237,1154,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1600,1800000001678,16,1600,1389,476,240,193,278,162,239,1205,220
single_woods_0078,Single Woods 0078,Woods,No Scent,No Scent,1700,1800000001778,17,1700,1441,489,240,189,277,169,240,1248,220
