sample_id,sample_name,label_1,label_2,label_3,host_elapsed_ms,host_unix_ms,device_seq,device_ms,adc0,adc1,adc2,adc3,adc4,adc5,adc6,adc7,adc8
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,0,1800000000075,0,0,289,242,266,230,241,287,212,246,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,100,1800000000175,1,100,359,280,266,227,306,289,280,344,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,200,1800000000275,2,200,422,322,271,227,358,291,348,434,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,300,1800000000375,3,300,494,362,266,226,414,288,415,525,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,400,1800000000475,4,400,556,399,267,231,477,287,479,617,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,500,1800000000575,5,500,617,435,267,231,529,291,539,706,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,600,1800000000675,6,600,682,467,265,225,581,294,599,795,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,700,1800000000775,7,700,746,504,269,229,631,295,659,875,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,800,1800000000875,8,800,802,540,264,225,683,291,716,957,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,900,1800000000975,9,900,865,578,269,227,739,291,778,1043,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1000,1800000001075,10,1000,919,609,269,230,783,292,828,1118,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1100,1800000001175,11,1100,975,641,265,227,832,289,883,1197,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1200,1800000001275,12,1200,1030,672,265,224,882,290,936,1272,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1300,1800000001375,13,1300,1083,702,265,228,924,289,994,1351,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1400,1800000001475,14,1400,1133,733,266,229,969,294,1038,1421,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1500,1800000001575,15,1500,1184,765,266,229,1013,292,1092,1492,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1600,1800000001675,16,1600,1239,796,268,225,1056,289,1142,1562,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1700,1800000001775,17,1700,1291,825,264,226,1099,294,1188,1631,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1800,1800000001875,18,1800,1339,850,261,230,1143,290,1236,1698,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,1900,1800000001975,19,1900,1382,877,260,228,1184,297,1282,1759,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2000,1800000002075,20,2000,1433,905,263,229,1222,290,1328,1825,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2100,1800000002175,21,2100,1474,931,265,227,1259,294,1368,1883,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2200,1800000002275,22,2200,1521,957,264,225,1297,296,1414,1948,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2300,1800000002375,23,2300,1559,983,266,229,1341,297,1455,2004,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2400,1800000002475,24,2400,1601,1007,262,227,1374,293,1495,2066,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2500,1800000002575,25,2500,1644,1025,265,229,1413,297,1533,2126,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2600,1800000002675,26,2600,1685,1053,259,227,1448,295,1575,2177,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2700,1800000002775,27,2700,1725,1073,258,224,1479,293,1616,2230,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2800,1800000002875,28,2800,1763,1095,262,231,1514,292,1651,2290,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,2900,1800000002975,29,2900,1801,1117,266,227,1551,295,1686,2337,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,3000,1800000003075,30,3000,1839,1135,260,230,1581,299,1723,2391,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,3100,1800000003175,31,3100,1875,1161,259,230,1614,298,1762,2441,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,3200,1800000003275,32,3200,1914,1179,263,225,1645,294,1792,2488,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,3300,1800000003375,33,3300,1948,1198,258,223,1671,300,1826,2542,220
single_woody_amber_0075,Single Woody Amber 0075,Woody Amber,No Scent,No Scent,3400,1800000003475,34,3400,1977,1217,261,228,1698,294,1865,2587,220
